vector,promoter,date,setup,condition,frames,time_step_min,master,duration_h,curation,moma_version,segmentation_model,gl_width,master_type,comment,gls,vertical offset,pruning,old_status,new_status
ch,hi1,20200812,stacy,m9+ace 0.2,0-Inf,18.75,vng76,48,202008_deep_moma,unknown,unknown,0.8,mxDIMM2L,tilted,,,,old_curation,
ch,hi1,20220824,momo,m9+ace 0.2,0-Inf,12,vng79,40,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.8,mxDIMM2L,all ok but cells are growing fast,35,100,no_need_to_be_fixed,ready,ready
ch,hi1,20220831,momo,m9+ace 0.2,0-Inf,12,vng79,40,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.65,mxDIMM2L,,,,,gl_too_tight,
ch,hi1,20190515,stacy,m9+gly 0.4,440-Inf,6,vng20,40,202208_deep_moma,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM,,,100,,ready,ready
ch,hi1,20210712,stacy,m9+gly 0.4,,6,vng80,6,not_done,NA,,0.8,mxDIMM2L,,,,,not_curated,
ch,hi1,20210715,stacy,m9+gly 0.4,,6,vng80,20,not_done,NA,,0.8,mxDIMM2L,,,,,not_curated,
ch,hi1,20190515,stacy,m9+glu 0.2,0-440,3,vng20,20,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM,,,100,,ready,ready
ch,hi1,20190916,stacy,m9+glu 0.2,,3,vng64,11,not_done,NA,,1.15,mxDIMM3Lf,,,,,not_curated,
ch,hi1,20210423,stacy,m9+glu 0.2,,3,vng78,11,202008_deep_moma,unknown,unknown,0.9,mxDIMM2L,,,,,,
ch,hi1,20210712,stacy,m9+glu 0.2,,1.5,vng80,6,not_done,NA,,0.8,mxDIMM2L,no_fluo,,,,not_curated,
ch,hi1,20210715,stacy,m9+glu 0.2,,3,vng80,6,not_done,NA,,0.8,mxDIMM2L,,,,,not_curated,
ch,hi1,20220707,momo,m9+glu 0.2,0-Inf,3,vng22,20,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.8,mxDIMM,,,100,,ready,
ch,hi1,20200516,stacy,m9+glu 0.2+aa,,3,vng80,11,2020_legacy_moma,unknown,unknown,,mxDIMM2L,,,,,,
ch,hi1,20200516,stacy,m9+glu 0.2+aa,,3,vng80,11,2020_legacy_moma,unknown,unknown,,mxDIMM2L,,,,,,
ch,hi1,20210423,stacy,m9+glu 0.2+aa,,1.5,vng78,11,202208_deep_moma,unknown,unknown,,mxDIMM2L,,,,,,
ch,hi1,20200417,stacy,m9+glu 0.2+ez_synthetic_medium,,1.5,vng80,20,2020_legacy_moma,,,,mxDIMM2L,,,,,,
ch,hi1,20190906,stacy,m9+lac 0.2,,4.5,vng20,18,not_done,,,,mxDIMM,,,,,not_curated,
ch,hi1,20220506,stacy,m9+glu_low_concentrations,,3,vng20,,,0.4.0-6a6039e3,model_20210715_5b27d7aa,,MxDIMM3Lf (0.7 um),,,,,,
