name,final,carbon_source,carbon_source_concentration
mean_lambda,0.00197594,acetate,0.05
gamma_lambda,0.00443957,acetate,0.05
var_lambda,1.09055e-8,acetate,0.05
mean_q,33.0482,acetate,0.05
gamma_q,0.0125697,acetate,0.05
var_q,7.17988,acetate,0.05
beta,0,acetate,0.05
var_x,4.42177e-4,acetate,0.05
var_g,16.316,acetate,0.05
var_dx,0.00363986,acetate,0.05
mean_lambda,0.00358171,acetate,0.2
gamma_lambda,0.00989197,acetate,0.2
var_lambda,4.21088e-8,acetate,0.2
mean_q,55.3181,acetate,0.2
gamma_q,0.0438536,acetate,0.2
var_q,53.6198,acetate,0.2
beta,0,acetate,0.2
var_x,2.5007e-4,acetate,0.2
var_g,14.8951,acetate,0.2
var_dx,0.00556936,acetate,0.2
mean_lambda,0.011524,glucose,0.2
gamma_lambda,0.0813943,glucose,0.2
var_lambda,2.02917e-6,glucose,0.2
mean_q,130.011,glucose,0.2
gamma_q,0.055191,glucose,0.2
var_q,449.735,glucose,0.2
beta,0,glucose,0.2
var_x,1.51284e-4,glucose,0.2
var_g,7.84126,glucose,0.2
var_dx,0.00435274,glucose,0.2
mean_lambda,0.0218072,glucoseaa,0.2
gamma_lambda,0.0970887,glucoseaa,0.2
var_lambda,4.3356e-6,glucoseaa,0.2
mean_q,219.613,glucoseaa,0.2
gamma_q,0.204397,glucoseaa,0.2
var_q,2741.06,glucoseaa,0.2
beta,0,glucoseaa,0.2
var_x,7.82747e-5,glucoseaa,0.2
var_g,22.8378,glucoseaa,0.2
var_dx,0.00684766,glucoseaa,0.2
mean_lambda,0.00495296,glycerol,0.4
gamma_lambda,0.0135545,glycerol,0.4
var_lambda,8.26944e-8,glycerol,0.4
mean_q,73.0105,glycerol,0.4
gamma_q,0.0551899,glycerol,0.4
var_q,202.654,glycerol,0.4
beta,0,glycerol,0.4
var_x,1.38862e-4,glycerol,0.4
var_g,12.4338,glycerol,0.4
var_dx,0.00833849,glycerol,0.4
