condition,promoter,vector,replica,well,well_gr,sd_well_gr,alpha_gfp,sd_alpha_gfp,promoter_type
glucose020,p3A10,pl,4,pl6_A_10_p3-A10,1.0030542448229816,0.14519353599701584,18599.310876524745,1715.2301534945136,high
glucose020,p3B9,pl,2,pl6_B_9_p3-B9,0.7703479297457341,0.048884833395171946,604.6557098145934,50.332766321653196,medium
glucose020,p3F10,pl,2,pl6_F_10_p3-F10,0.5649234468235161,0.029478438884473126,21333.903579201477,366.5027614574618,high
glucose020,p2B7,pl,4,pl5_B_7_p2-B7,0.5748923673351308,0.04378345138993669,1766.0898928500287,106.07404736458781,medium
glucose020,p3A4,pl,4,pl6_A_4_p3-A4,0.7808593101731517,0.008199057110737564,8487.401890864547,322.1616351546535,high
glucose020,p3B3,pl,4,pl6_B_3_p3-B3,0.7082130756125736,0.022731283205993227,717.9215951892402,70.56675284584585,medium
glucose020,p3B9,pl,4,pl6_B_9_p3-B9,0.7447512897609017,0.06826105321739671,770.332922467152,65.49661492548147,medium
glucose020,p3B11,pl,4,pl6_B_11_p3-B11,1.1532887376913354,0.10460059458893141,19108.209646455827,727.5027570184642,high
glucose020,p3C5,pl,4,pl6_C_5_p3-C5,0.7413485113862495,0.02622713938277612,7240.062052014075,500.186385788193,high
glucose020,p3E2,pl,4,pl6_E_2_p3-E2,0.5820455499939781,0.03456994642056199,575.2886933085294,62.27524959718986,medium
glucose020,p3E4,pl,4,pl6_E_4_p3-E4,0.5571217067842091,0.015376115260650865,9673.26548305785,1783.5713605813394,high
glucose020,p3E5,pl,4,pl6_E_5_p3-E5,0.6651994616241285,0.05098538470521605,9330.675801261543,553.5103362713627,high
glucose020,p3F3,pl,4,pl6_F_3_p3-F3,0.7682572148089918,0.04343619239228108,199.62219868970453,40.66843860433305,medium
glucose020,p3F5,pl,4,pl6_F_5_p3-F5,0.6669577579544607,0.009645083268157368,13719.481866549428,903.8040226312627,high
glucose020,p3F10,pl,4,pl6_F_10_p3-F10,0.6920087542263095,0.046807288231707864,26311.19137866204,1778.1780485423888,high
glucose020,p3G9,pl,4,pl6_G_9_p3-G9,0.8616425957311705,0.022397374403356547,191.48637568279082,42.323906873724766,medium
glycerol040,p3C5,pl,3,pl4_C_5_p3-C5,0.26046400948379955,0.022268304485098814,8316.3469369893,604.258569246035,high
glycerol040,p3F8,pl,1,pl4_F_8_p3-F8,0.3232759154561247,0.01278407701505145,441.1246073210541,44.00022644856876,medium
glucose020,hi3,ch,1,pl5_B_3_ch-hi3,0.6299375380269172,0.021884928459108492,346.2929847969896,21.551463655856494,high
glucose020,p2B8,pl,1,pl5_B_8_p2-B8,0.43829143801874987,0.02316372305948128,466.7559527403048,48.426867792982115,medium
glucose020,p3C3,pl,1,pl6_C_3_p3-C3,0.4494264295816227,0.016897536807311143,771.9661869872891,34.48101207279119,medium
glucoseaa020,p3B7,pl,1,pl8_B_7_p3-B7,1.499926546178202,0.2422857349545934,187.91813247336233,42.5819517584175,medium
glucose020,p3A7,pl,2,pl6_A_7_p3-A7,0.9303778767720432,0.055505921586754575,1329.7600477233495,64.62231678378703,medium
glucose020,p3A8,pl,2,pl6_A_8_p3-A8,0.8105058706844896,0.02748862440436683,799.1583776216186,28.14985032710341,medium
glucose020,p3A9,pl,2,pl6_A_9_p3-A9,0.8884380167352373,0.06544367271441595,1265.5622449590373,62.770526653515695,medium
glucose020,p3A11,pl,2,pl6_A_11_p3-A11,0.7921894079970723,0.027446034843590615,27902.665867459855,573.9745957940675,high
glucose020,p3A12,pl,2,pl6_A_12_p3-A12,0.7126434552319619,0.012576576552117013,22447.372449595296,382.210337297587,high
