,peak_heights,prominences,left_bases,right_bases,widths,width_heights,left_ips,right_ips,peak_locations,index
0,68905.45260843751,61815.99886529062,36,1290,61.67217637163779,37997.4531757922,161.40960437012296,223.08178074176075,192,0
1,61285.27821843641,54880.309133761795,866,1290,61.2361216322596,33845.123651555514,1013.7175673758112,1074.9536890080708,1044,0
2,71872.83226644844,65584.95304789228,1290,1710,60.53573456441268,39080.3557425023,1546.6519995438252,1607.187734108238,1576,0
3,73434.36905153038,67005.40383886413,1290,2023,59.22753843325586,39931.66713209831,1867.8197451293881,1927.047283562644,1896,0
4,55198.35857398689,46054.57522071346,2023,2164,56.69531039460071,32171.070963630158,2081.3328985757016,2138.0282089703023,2109,0
5,88284.70122478901,81724.80561239648,1290,2453,60.02502378173995,47422.29841859077,2187.4688106712483,2247.4938344529883,2216,0
6,59893.91075703257,49663.51382852568,2272,2453,56.362730950463174,35062.15384276973,2293.9854887994497,2350.348219749913,2320,0
7,40709.105488214314,33751.10868432936,2453,3001,54.63553541519195,23833.551146049635,2829.1670422855655,2883.8025777007574,2855,0
0,70998.77452518682,63922.9828231968,36,1316,54.7562861090027,39037.28311358842,165.0812492243744,219.8375353333771,192,1
1,63232.99849117172,56854.44856963813,904,1316,54.25736975818518,34805.77420635265,1017.2542068622795,1071.5115766204647,1044,1
2,72946.41775283683,66661.2951770068,1316,1716,53.99235018552963,39615.77016433343,1549.9639969306095,1603.956347116139,1576,1
3,74358.48626926124,67913.67252374333,1316,2021,52.89888960358985,40401.65000738957,1871.1534193636915,1924.0523089672813,1896,1
4,57422.96848358573,49011.489550767335,2021,2164,50.69137903948604,32917.223708202066,2084.7390481473008,2135.430427186787,2109,1
5,91604.08087873788,85047.42594462691,1316,2452,53.8733484249492,49080.36790642442,2190.1570110107505,2244.0303594356997,2215,1
6,61876.680770187224,52836.96170531388,2272,2452,51.07716602559776,35458.199917530284,2296.5310252166996,2347.6081912422974,2320,1
7,41573.536591291064,34639.13378024817,2452,3001,48.12701909050065,24253.969701166978,2833.1522263419556,2881.2792454324563,2856,1
0,74885.70560380223,67812.5775502915,36,1256,48.98739931610396,40979.416828656475,168.03435930531273,217.0217586214167,192,2
1,66360.2664503703,59974.7669596825,932,1256,48.41163135101226,36372.88297052905,1020.302607398915,1068.7142387499273,1044,2
2,76272.59391823197,69930.39021114576,1256,1724,48.29443418209166,41307.39881265909,1552.505993112675,1600.8004272947667,1576,2
3,77891.29196278949,71402.55641887791,1256,2020,47.38175940937481,42190.01375335053,1873.9880396056708,1921.3697990150456,1896,2
4,60559.2983796293,52478.02433118935,2020,2165,45.63802211083612,34320.286214034626,2087.4041090488086,2133.0421311596447,2109,2
5,96360.6089053596,89805.39014629889,1256,2469,48.220987741078716,51457.91383221015,2193.045662794968,2241.2666505360467,2216,2
6,65097.730317404974,56538.38398110264,2272,2469,45.9401492601296,36828.53832685365,2299.288870279134,2345.2290195392634,2320,2
7,44546.19349213792,37598.045575581826,2469,2978,42.65691031979668,25747.17070434701,2836.2879637388137,2878.9448740586104,2856,2
0,78857.4881619188,71747.18596964881,39,1283,43.77504009505009,42983.89517709439,170.5394753511352,214.31451544618528,192,3
1,70641.71792215346,64219.93385345782,888,1283,42.97625439898718,38531.75099542455,1023.1192734109542,1066.0955278099414,1044,3
2,81317.44382034511,74984.04094674814,1283,1782,42.784892176051244,43825.423346971045,1555.272018907334,1598.0569110833853,1576,3
3,82883.41372167112,76314.94489446048,1283,2018,42.32514833682353,44725.941274440884,1876.2099248151535,1918.535073151977,1896,3
4,65010.938250554536,56934.751245085994,2018,2165,40.5019877069185,36543.56262801154,2089.9841644939315,2130.48615220085,2109,3
5,103104.56033758174,96521.71925547782,1283,2453,42.90980641134138,54843.70070984284,2195.5373354422745,2238.447141853616,2216,3
6,69457.4385776978,61060.37636201956,2273,2453,41.04048824755819,38927.25039668802,2301.460505963964,2342.500994211522,2320,3
7,48834.15699809156,41866.17098881211,2453,2980,38.09791156264146,27901.071503685504,2838.905936158548,2877.0038477211892,2856,3
0,87124.76352835161,80054.98395163541,37,1219,37.39865289199412,47097.27155253391,173.66363847185795,211.06229136385207,192,4
1,78826.33023969222,72437.66942394778,902,1219,36.260520208157686,42607.49552771833,1026.1936942034326,1062.4542144115903,1044,4
2,89059.26897676794,82729.10291505365,1219,1745,36.33563244765628,47694.717519241116,1558.342366638157,1594.6779990858133,1576,4
3,90952.70523094153,84327.76282351013,1219,2013,35.79318548464994,48788.823819186466,1879.1287911888062,1914.9219766734561,1896,4
4,73662.18925867656,65487.20601898449,2013,2164,34.7540028755152,40918.586249184315,2092.779392725016,2127.533395600531,2109,4
5,115428.36241181624,108850.31401118948,1219,2504,36.827418765479706,61003.2054062215,2198.4884542380623,2235.315873003542,2216,4
6,77263.24562436376,68693.55189869,2275,2504,35.47936834429311,42916.46967501876,2304.106843141924,2339.586211486217,2321,4
7,56046.65306586479,49100.59144976915,2504,3003,32.95308527708403,31496.357340980216,2841.012417979529,2873.965503256613,2857,4
0,96107.71250502212,89036.39457901799,31,1216,32.030731862490654,51589.51521551313,176.29458978668984,208.3253216491805,192,5
1,88160.32092051327,81797.58590774713,888,1216,30.895564943243016,47261.52796663971,1028.8193752732377,1059.7149402164807,1044,5
2,98635.12897470912,92346.66052954986,1216,1765,31.13024547350119,52461.79870993419,1560.7720290483767,1591.9022745218779,1576,5
3,101163.99260993527,94454.21896042234,1216,2014,30.95871820674074,53936.883129724105,1881.2768481717358,1912.2355663784765,1896,5
4,82819.50497194532,74436.2596948871,2014,2161,29.83823181529533,45601.37512450177,2095.1592690384437,2124.997500853739,2109,5
5,129172.57694494388,122592.13189562906,1216,2484,31.671600249748735,67876.51099712934,2200.8315774903026,2232.5031777400513,2216,5
6,87381.67047438803,78618.62766629022,2278,2484,30.411468736915594,48072.35664124291,2306.3795789535575,2336.791047690473,2321,5
7,64281.15023669191,57345.63908406261,2484,3002,27.115031031043145,35608.3306946606,2843.2412318255506,2870.3562628565937,2857,5
0,103654.84245615032,96534.72764809868,48,1260,28.341001354326636,55387.47863210098,178.10233266409475,206.44333401842138,192,6
1,95747.13230706732,89353.74166491294,888,1260,27.20211749372652,51070.26147461085,1030.5943923646737,1057.7965098584002,1044,6
2,107471.03470049279,101144.98447082951,1260,1757,27.330439018984407,56898.54246507803,1562.7023959963292,1590.0328350153136,1576,6
3,108719.91299067768,101835.11495900963,1260,2011,27.185899612620915,57802.355511172864,1883.0583310064062,1910.2442306190271,1896,6
4,91090.89932366331,82526.00295851471,2011,2159,26.463360864155675,49827.897844405954,2096.5874718557566,2123.0508327199123,2109,6
5,141992.5928371313,135423.52179027192,1260,2500,27.681289994335657,74280.83194199533,2202.552401269156,2230.2336912634914,2216,6
6,95441.92215273259,86426.53000905854,2278,2500,26.976653567194262,52228.65714820332,2307.9628617773205,2334.939515344515,2321,6
7,72180.03732637835,65199.44272261891,2500,3005,24.966429838987096,39580.315965068905,2844.1386825366963,2869.1051123756833,2857,6
0,113158.40849028231,106070.49232511329,35,1260,24.750089860447446,60123.162327725666,179.87940856774992,204.62949842819737,192,7
